code,form,bits,description
F00,KA-TA-MA,000000,internal identity
F01,KA-TA-ME,000001,internal differentiation
F02,KA-TA-MO,000010,internal depth
F03,KA-TA-MU,000011,internal tension
F04,KA-TE-MA,000100,internal structure
F05,KA-TE-ME,000101,internal orientation
F06,KA-TE-MO,000110,internal variation
F07,KA-TE-MU,000111,internal modality
F08,KA-TO-MA,001000,internal layer
F09,KA-TO-ME,001001,internal gradient
F10,KA-TO-MO,001010,internal shift
F11,KA-TO-MU,001011,internal transition
F12,KA-TU-MA,001100,internal state
F13,KA-TU-ME,001101,internal signal
F14,KA-TU-MO,001110,internal function
F15,KA-TU-MU,001111,internal emergence
F16,KE-TA-MA,010000,structural identity
F17,KE-TA-ME,010001,structural differentiation
F18,KE-TA-MO,010010,structural depth
F19,KE-TA-MU,010011,structural tension
F20,KE-TE-MA,010100,structural form
F21,KE-TE-ME,010101,structural orientation
F22,KE-TE-MO,010110,structural variation
F23,KE-TE-MU,010111,structural modality
F24,KE-TO-MA,011000,structural layer
F25,KE-TO-ME,011001,structural gradient
F26,KE-TO-MO,011010,structural shift
F27,KE-TO-MU,011011,structural transition
F28,KE-TU-MA,011100,structural state
F29,KE-TU-ME,011101,structural signal
F30,KE-TU-MO,011110,structural function
F31,KE-TU-MU,011111,structural emergence
F32,KO-TA-MA,100000,process identity
F33,KO-TA-ME,100001,process differentiation
F34,KO-TA-MO,100010,process depth
F35,KO-TA-MU,100011,process tension
F36,KO-TE-MA,100100,process form
F37,KO-TE-ME,100101,process orientation
F38,KO-TE-MO,100110,process variation
F39,KO-TE-MU,100111,process modality
F40,KO-TO-MA,101000,process layer
F41,KO-TO-ME,101001,process gradient
F42,KO-TO-MO,101010,process shift
F43,KO-TO-MU,101011,process transition
F44,KO-TU-MA,101100,process state
F45,KO-TU-ME,101101,process signal
F46,KO-TU-MO,101110,process function
F47,KO-TU-MU,101111,process emergence
F48,KU-TA-MA,110000,emergent identity
F49,KU-TA-ME,110001,emergent differentiation
F50,KU-TA-MO,110010,emergent depth
F51,KU-TA-MU,110011,emergent tension
F52,KU-TE-MA,110100,emergent form
F53,KU-TE-ME,110101,emergent orientation
F54,KU-TE-MO,110110,emergent variation
F55,KU-TE-MU,110111,emergent modality
F56,KU-TO-MA,111000,emergent layer
F57,KU-TO-ME,111001,emergent gradient
F58,KU-TO-MO,111010,emergent shift
F59,KU-TO-MU,111011,emergent transition
F60,KU-TU-MA,111100,emergent state
F61,KU-TU-ME,111101,emergent signal
F62,KU-TU-MO,111110,emergent function
F63,KU-TU-MU,111111,emergent emergence
